id,source_country,source_client,lat,lng
4156,COLOMBIA,Client,4.5716098,-74.081316
22475,COLOMBIA,Client,4.7264451,-74.2173655
36564,COLOMBIA,Client,3.4833898,-76.4856519
19636,COLOMBIA,Client,11.0056992,-74.793902
24268,COLOMBIA,Client,10.9609112,-74.8049045
31081,COLOMBIA,Client,10.9843582,-74.7784035
5933,COLOMBIA,Client,3.4646508,-76.5082392
6922,COLOMBIA,Client,4.6036738,-74.1975036
37497,COLOMBIA,Client,3.4189115,-76.2440299
38118,COLOMBIA,Client,3.0090729,-76.4866065
28222,COLOMBIA,Client,4.6908399,-74.0869072
37683,COLOMBIA,Client,4.6817769,-74.0661167
24717,COLOMBIA,Client,7.1130827,-73.2186059
12940,COLOMBIA,Client,4.5989479,-74.1880978
5702,COLOMBIA,Client,4.6314769,-74.0761089
28211,COLOMBIA,Client,6.1624526,-75.6229791
20682,COLOMBIA,Client,4.6895561,-74.0746635
28007,COLOMBIA,Client,6.5537688,-73.1306038
19808,COLOMBIA,Client,10.9600712,-74.8319454
18538,COLOMBIA,Client,4.5843494,-74.1203538
5119,COLOMBIA,Client,4.8753524,-74.041525
28348,COLOMBIA,Client,4.9513446,-73.9390105
2962,COLOMBIA,Client,7.0709613,-73.0981719
34044,COLOMBIA,Client,4.7050223,-74.236099
13905,COLOMBIA,Client,3.4774238,-76.507458
31030,COLOMBIA,Client,4.6736445,-74.0926218
37755,COLOMBIA,Client,3.4117108,-76.5255618
1450,COLOMBIA,Client,7.1443719,-73.1243053
6810,COLOMBIA,Client,4.6839279,-74.1438552
35209,COLOMBIA,Client,4.6043524,-74.1403243
9397,COLOMBIA,Client,4.6586597,-74.0530708
270,COLOMBIA,Client,4.6381271,-74.1658442
79,COLOMBIA,Client,4.5707738,-74.2357214
518,COLOMBIA,Client,4.742517,-74.046564
34066,COLOMBIA,Client,6.2113705,-75.566693
19679,COLOMBIA,Client,4.6377814,-74.1989321
26841,COLOMBIA,Client,4.7341983,-74.0195546
3016,COLOMBIA,Client,4.5823873,-74.1847758
33679,COLOMBIA,Client,4.7252291,-74.0497077
23115,COLOMBIA,Client,6.1747287,-75.6428816
37484,COLOMBIA,Client,4.7070365,-74.1989528
28003,COLOMBIA,Client,4.6250036,-74.1687746
9115,COLOMBIA,Client,4.5834932,-74.1906137
20290,COLOMBIA,Client,4.5826607,-74.1353847
29081,COLOMBIA,Client,4.4909571,-74.1149423
20034,COLOMBIA,Client,4.5569031,-74.1464247
18682,COLOMBIA,Client,4.6235372,-74.073646
15293,COLOMBIA,Client,4.7443923,-74.063554
19489,COLOMBIA,Client,6.1516276,-75.6064169
19670,COLOMBIA,Client,4.6164795,-74.1222795
32270,COLOMBIA,Client,4.4916503,-74.1159583
37346,COLOMBIA,Client,6.2768404,-75.611639
26748,COLOMBIA,Client,3.3886454,-76.56152
35379,COLOMBIA,Client,6.1655232,-75.6066198
8123,COLOMBIA,Client,4.6791892,-74.0403968
18043,COLOMBIA,Client,7.0931798,-73.0900449
28298,COLOMBIA,Client,6.3340443,-75.563392
27987,COLOMBIA,Client,4.6888329,-74.0512822
7472,COLOMBIA,Client,7.0893081,-73.1049165
9062,COLOMBIA,Client,4.518503,-74.1176654
13409,COLOMBIA,Client,4.6293065,-74.0855317
18818,COLOMBIA,Client,7.0986652,-73.0940066
30738,COLOMBIA,Client,6.1678873,-75.5834467
16624,COLOMBIA,Client,6.1922572,-75.5899465
12693,COLOMBIA,Client,4.6741,-74.1521539
18678,COLOMBIA,Client,4.5938046,-74.1379476
4495,COLOMBIA,Client,4.7298248,-74.0357034
289,COLOMBIA,Client,4.5661245,-74.1360193
11188,COLOMBIA,Client,5.1937451,-73.1457003
17269,COLOMBIA,Client,6.2929529,-75.5427237
25242,COLOMBIA,Client,4.6865377,-74.0849185
13412,COLOMBIA,Client,4.6384713,-74.1928954
15902,COLOMBIA,Client,4.5569532,-74.1400375
13326,COLOMBIA,Client,7.1270442,-73.1059854
685,COLOMBIA,Client,4.5924569,-74.1986513
13941,COLOMBIA,Client,4.5903315,-74.202098
4183,COLOMBIA,Client,7.0767923,-73.0886038
32312,COLOMBIA,Client,10.91036,-74.7921173
15651,COLOMBIA,Client,4.6155337,-74.137262
24187,COLOMBIA,Client,10.7237769,-74.914413
24326,COLOMBIA,Client,4.576982,-74.1128113
12644,COLOMBIA,Client,4.7588147,-74.0279231
12916,COLOMBIA,Client,7.0939857,-73.1006687
