,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4168,ALVES COR PINTURA E COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,10679585000252,"RUA MANUEL VELOSO DA COSTA  507 , SAO PAULO",-23.6108586,-46.4539228,SAO PAULO,3
4169,TRIVIAL BOA TINTA EIRELI,10680348000120,"RUA DOS ALPES  604 , SANTO ANDRE",-23.6460634,-46.5195399,SANTO ANDRE,3
4170,AGR INDUSTRIA E COMERCIO DE METAIS LTDA,10680681000130,"RUA PARTICULAR  15 , SAO PAULO",-23.5158251,-46.4183873,SAO PAULO,4
4171,ASOL COMERCIO DE PEDRAS E REVESTIMENTOS LTDA,10682717000114,"RUA MARIA AMALIA LOPES DE AZEVEDO  3134 , SAO PAULO",-23.4574457,-46.5963714,SAO PAULO,2
4172,COMERCIAL SOL DOS MILAGRES LTDA,10685124000101,"RUA DOUTOR RODRIGUES DE MIRANDA JUNIOR  125 , SAO PAULO",-23.5596883,-46.4042863,SAO PAULO,4
4173,COMPANHIA DOS RELES  COMPONENTES EIRELI,10686618000100,"RUA BRIGADEIRO TOBIAS  577 , SAO PAULO",-23.5379373,-46.6347473,SAO PAULO,1
4174,JWA COMERCIO DE MATERIAIS ELETRICOS E INSTALACOES LTDA,10688502000100,"RUA FILIPINAS  28 , SAO BERNARDO DO CAMPO",-23.6642178,-46.6091502,SAO BERNARDO DO CAMPO,2
4175,ALFABOX & ESPELHOS VIDRACARIA LIMITADA,10689506000103,"TRAVESSA FIJI  60 , SAO PAULO",-23.6179811,-46.6953354,SAO PAULO,2
4176,FONTELLI COMERCIO DE FORROS & DIVISORIAS LTDA,10693560000122,"RUA BRASILIO MACHADO  169 , SAO BERNARDO DO CAMPO",-23.7167673,-46.5473863,SAO BERNARDO DO CAMPO,4
4177,VICENTIM COMERCIO DE MARMORES E GRANITOS EIRELI,10696100000158,"AVENIDA ALVARO RAMOS  1402 , SAO PAULO",-23.5483697,-46.5824498,SAO PAULO,1
4178,RCWELL COMERCIO E PRESTACAO DE SERVICOS LTDA,10696781000154,"RUA ARNALDO GAMA  64 , SAO PAULO",-23.6840668,-46.7891707,SAO PAULO,4
4179,TONI TEXTURA & GRAFIATO LTDA,10697885000183,"RUA ADUTORA DE RIO CLARO  7530 , SAO PAULO",-23.5918456,-46.5294702,SAO PAULO,2
4180,TONI TEXTURA & GRAFIATO LTDA,10697885000183,"RUA ADUTORA DE RIO CLARO  7530 , SAO PAULO",-23.5918456,-46.5294702,SAO PAULO,2
4181,SP BRASIL MATERIAIS ELETRICOS E ILUMINACAO LTDA,10698598000198,"RUA TOBIAS BARRETO  1303 , SAO PAULO",-23.5475674,-46.5859849,SAO PAULO,1
4182,NELSON GESSOS COMERCIAL LTDA,10699896000100,"AVENIDA ARICANDUVA  5290 , SAO PAULO",-23.5665154,-46.5074831,SAO PAULO,2
4183,RENATO GASPAR  MAQUINAS,10701343000137,"RUA DO ACAPUZAL  16 , SAO PAULO",-23.494907,-46.4959779,SAO PAULO,2
